SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
TEC.0358;Seminário de Orientação de Projeto Integrador II(30H);Graduação;30;40;2;Sim;TEC.805.0031;Curso 05805
TEC.0465;Seminário de Orientação de Projeto Integrador II(30H);Graduação;30;40;2;Sim;TEC.102.0030;Curso 01102
TEC.0500;Seminário de Orientação de Projeto Integrador II(30H);Graduação;30;40;2;Sim;TEC.804.0025;Curso 06804
TEC.0558;Seminário de Orientação de Projeto Integrador II(30H);Graduação;30;40;2;Sim;TEC.304.0024;Curso 01304
TEC.0510;Seminário de Orientação de Projeto Integrador III(30H);Graduação;30;40;2;Sim;TEC.804.0026;Curso 06804
TEC.0082;Seminário de Orientação de Projeto Integrador/técnico I (Curso 436);Graduação;30;40;2;Sim;TEC.436.0023;-
TEC.0186;Seminário de orientação de projeto integrador/técnico I (Curso 502);Graduação;30;40;2;Sim;TEC.502.0030;-
TEC.0083;Seminário de Orientação de Projeto Integrador/técnico II (Curso 436);Graduação;30;40;2;Sim;TEC.436.0024;-
TEC.0187;Seminário de orientação de projeto integrador/técnico II (Curso 502);Graduação;30;40;2;Sim;TEC.502.0031;-
TEC.0084;Seminário de Orientação de Projeto Integrador/técnico III (Curso 436);Graduação;30;40;2;Sim;TEC.436.0025;-
TEC.0188;Seminário de orientação de projeto integrador/técnico III (Curso 502);Graduação;30;40;2;Sim;TEC.502.0032;-
TEC.0801;Seminário de Orientação de Projeto Intregrador;Graduação;30;40;2;Sim;TEC.014.0002;Curso 014
LIC.0161;Seminário de Orientação de Projetos Integradores I;Graduação;30;40;2;Sim;LIC.601.0053;Curso 601
LIC.0328;Seminário de Orientação de Projetos Integradores I;Graduação;15;20;1;Sim;LIC.603.0048;Curso 603
LIC.0171;Seminário de Orientação de Projetos Integradores II;Graduação;15;20;1;Sim;LIC.601.0054;Curso 601
LIC.0329;Seminário de Orientação de Projetos Integradores II;Graduação;15;20;1;Sim;LIC.603.0049;Curso 603
TSUB.0639;Seminário de Orientação do Projeto Integrador;Médio;30;40;2;Sim;-;-
TIN.0576;Seminário de Orientação do Projeto Integrador(30H);Médio;30;40;2;Sim;TIN.703.0028;-
TIN.0184;Seminário de Orientação para a Prática I(15H);Médio;15;20;1;Sim;TIN.108.0022;.
TIN.0371;Seminário de Orientação para a Prática I(15H);Médio;15;20;1;Sim;TIN.016.0001;-
TIN.0204;Seminário de Orientação para a Prática II(15H);Médio;15;20;1;Sim;TIN.108.0024;.
TIN.0372;Seminário de Orientação para a Prática II(15H);Médio;15;20;1;Sim;TIN.016.0002;-
TEC.0406;Seminário de Orientação para a Prática Profissional;Graduação;30;40;2;Sim;TEC.048.0022;Curso 03048
TEC.0705;Seminário de Orientação para a Prática Profissional;Graduação;30;40;2;Sim;TEC.806.0030;-
TIN.1075;Seminário de Orientação para a Prática Profissional;Médio;30;40;2;Sim;-;Curso 16121
TIN.0725;Seminário de Orientação para a Prática Profissional(15H);Médio;15;20;1;Sim;TIN.301.0021;-
TSUB.0251;Seminário de Orientação para a Prática Profissional(30H);Médio;30;40;2;Sim;TSUB.808.0019;Curso 12808
TSUB.0277;Seminário de Orientação para a Prática Profissional(30H);Médio;30;40;2;Sim;TSUB.053.0020;Curso 12053
TSUB.0543;Seminário de Orientação para a Prática Profissional(30H);Médio;30;40;2;Sim;TSUB.435.0021;-
